,0
0,0.2
1,0.2
2,0.2
3,0.2
4,0.2
5,0.2
6,0.2
7,0.3944
8,0.3968
9,0.4
10,0.3256
11,0.6136
12,0.4112
13,0.484
14,0.624
15,0.7104
16,0.8304
17,0.9192
18,0.8832
19,0.9176
20,0.9784
21,0.9768
22,0.972
23,0.98
24,0.9864
25,0.9808
26,0.9872
27,0.992
28,0.992
29,0.9944
30,0.9928
31,0.9936
32,0.9928
33,0.9944
34,0.9944
35,0.9952
36,0.9952
37,0.9952
38,0.9952
39,0.9952
40,0.996
41,0.9968
42,0.9952
43,0.9968
44,0.996
45,0.996
46,0.996
47,0.9976
48,0.9968
49,0.9984
50,0.996
51,0.9976
52,0.9976
53,0.996
54,0.9984
55,0.9976
56,0.9976
57,0.9976
58,0.9968
59,0.9976
60,0.9984
61,0.9976
62,0.9976
63,0.9976
64,0.9984
65,0.9976
66,0.9984
67,0.9976
68,0.9976
69,0.9992
70,0.996
71,0.9984
72,0.996
73,0.9984
74,0.9968
75,0.9984
76,0.9968
77,0.9992
78,0.996
79,0.9968
80,0.9976
81,0.9984
82,0.996
83,0.9984
84,0.996
85,0.9984
86,0.996
87,0.9976
88,0.9968
89,0.9976
90,0.9976
91,0.9976
92,0.9984
93,0.9968
94,0.9992
95,0.9976
96,0.9976
97,0.9976
98,0.9976
99,0.9968
